# GENRE,SUB-GENRE,TOPIC,REVENUE
Arts & Photography,How-to Crafts,,2711
Arts & Photography,Coffee-table,Photography,2309
Children's Books,Baby Books,,16092
Children's Books,Age 3-5,1st Readers,24514
Children's Books,Age 3-5,ABCs,17771
Children's Books,Age 3-5,Tolstoy for Tots,13295
Children's Books,Age 6-8,,14046
Children's Books,Pre-Teen & Teen,,18046
Computers & Internet,Troubleshooting,,4527
Mystery,Crime,Fiction,11186
Mystery,Crime,True Crime,8790
Mystery,Spy,Spy,6516
Mystery,Spy,True Spy,3809
Nonfiction,Health,Diet,3293
Nonfiction,Health,Fitness,6891
Nonfiction,History,,1131
Magazine,Fashion,Women's,7315
Magazine,Fashion,Men's,2222
Magazine,Home,,2612
Magazine,Other,,3140
Magazine,Sports,Sport's Illustrated,8009
Magazine,Sports,MMA,4257
Romance,Break up,Teen,6205
Romance,Break up,Young Adult,25193
Romance,Break up,Audiobooks,3045
Romance,Make Up,,15050
Science Fiction & Fantasy,Apocalyptic,,10200
Science Fiction & Fantasy,Comics,,3456

